Querylength,domain_token_count,path_token_count,longdomaintokenlen,avgpathtokenlen,tld,charcompvowels,charcompace,ldl_url,ldl_path,ldl_getArg,dld_path,dld_getArg,pathLength,subDirLen,this.fileExtLen,ArgLen,ArgUrlRatio,domainUrlRatio,pathDomainRatio,NumberofDotsinURL,CharacterContinuityRate,URL_DigitCount,Extension_DigitCount,URL_Letter_Count,host_letter_count,Filename_LetterCount,Query_LetterCount,Domain_LongestWordLength,Path_LongestWordLength,Arguments_LongestWordLength,URL_sensitiveWord,spcharUrl,delimeter_path,NumberRate_URL,NumberRate_FileName,NumberRate_AfterPath,SymbolCount_URL,SymbolCount_Directoryname,SymbolCount_FileName,Entropy_URL,Entropy_Domain,Entropy_Filename,Entropy_Extension,Entropy_Afterpath,class
21,2,10,8,1.5,2,10,7,0,0,0,0,0,52,52,2,47,0.67142856,0.15714286,4.7272725,1,0.8181818,12,-1,43,10,-1,8,8,5,9,1,2,4,0.171428571,0.235294118,0.255319149,9,-1,6,0.773549567,0.894885518,0.781245792,0,0.768145219,0
21,2,10,8,1.5,2,10,7,0,0,0,0,0,52,52,2,47,0.67142856,0.15714286,4.7272725,1,0.8181818,12,-1,43,10,-1,8,8,5,9,1,2,4,0.171428571,0.235294118,0.255319149,9,-1,6,0.773549567,0.894885518,0.781245792,0,0.768145219,0
21,2,10,8,1.5,2,10,7,0,0,0,0,0,52,52,2,47,0.67142856,0.15714286,4.7272725,1,0.8181818,12,-1,43,10,-1,8,8,5,9,1,2,4,0.171428571,0.235294118,0.255319149,9,-1,6,0.778827888,0.894885518,0.789074039,0,0.776819905,0
21,2,10,8,1.5,2,10,7,0,0,0,0,0,52,52,2,47,0.67142856,0.15714286,4.7272725,1,0.8181818,12,-1,43,10,-1,8,8,5,9,1,2,4,0.171428571,0.235294118,0.255319149,9,-1,6,0.779970471,0.894885518,0.790768597,0,0.778697689,0
21,2,10,8,1.5,2,10,7,0,0,0,0,0,52,52,2,47,0.67142856,0.15714286,4.7272725,1,0.8181818,12,-1,43,10,-1,8,8,5,9,1,2,4,0.171428571,0.235294118,0.255319149,9,-1,6,0.781729911,0.894885518,0.793378013,0,0.78158925,0
21,2,10,8,1.5,2,10,7,0,0,0,0,0,52,52,2,47,0.67142856,0.15714286,4.7272725,1,0.8181818,12,-1,43,10,-1,8,8,5,9,1,2,4,0.171428571,0.235294118,0.255319149,9,-1,6,0.783489351,0.894885518,0.795987429,0,0.784480812,0
21,2,10,8,1.5,2,10,7,0,0,0,0,0,52,52,2,47,0.67142856,0.15714286,4.7272725,1,0.8181818,12,-1,43,10,-1,8,8,5,9,1,2,4,0.171428571,0.235294118,0.255319149,9,-1,6,0.786391374,0.894885518,0.800291403,0,0.789250158,0
21,2,10,8,1.5,2,10,7,0,0,0,0,0,52,52,2,47,0.67142856,0.15714286,4.7272725,1,0.8181818,12,-1,43,10,-1,8,8,5,9,1,2,4,0.171428571,0.235294118,0.255319149,9,-1,6,0.786391374,0.894885518,0.800291403,0,0.789250158,0
21,2,10,8,1.5,2,10,7,0,0,0,0,0,52,52,2,47,0.67142856,0.15714286,4.7272725,1,0.8181818,12,-1,43,10,-1,8,8,5,9,1,2,4,0.171428571,0.235294118,0.255319149,9,-1,6,0.786391374,0.894885518,0.800291403,0,0.789250158,0
21,2,10,8,1.5,2,10,7,0,0,0,0,0,52,52,2,47,0.67142856,0.15714286,4.7272725,1,0.8181818,12,-1,43,10,-1,8,8,5,9,1,2,4,0.171428571,0.235294118,0.255319149,9,-1,6,0.786391374,0.894885518,0.800291403,0,0.789250158,0
